ID,Athlete,Gender,Age,Height,Weight,Country,Code,Year,Season,City
705,Dot Acklin,M,28,190,99,Switzerland-1,SUI,1994,Winter,Lillehammer
705,Dot Acklin,M,28,190,99,Switzerland-1,SUI,1994,Winter,Lillehammer
707,Urban Acman,M,24,180,83,Slovenia,SLO,2000,Summer,Sydney
739,Jorge Acua,M,24,173,50,Uruguay,URU,1972,Summer,Munich
746,Goro AdaChina,M,19,156,56,Japan,JPN,1932,Winter,Lake Placid
746,Goro AdaChina,M,23,156,56,Japan,JPN,1936,Winter,Garmisch-Partenkirchen
749,Miho AdaChina,F,25,165,58,Japan,JPN,2004,Summer,Athi
759,Ahmed Adam,M,20,162,60,Sudan,SUD,2008,Summer,Beijing
761,Gal Adam,M,22,190,80,Mauritius,MRI,2008,Summer,Beijing
766,Ji Adam,M,25,187,83,Czechoslovakia,TCH,1976,Summer,Montreal
766,Ji Adam,M,25,187,83,Czechoslovakia,TCH,1976,Summer,Montreal
766,Ji Adam,M,29,187,83,Czechoslovakia,TCH,1980,Summer,Moskva
768,Joseph Adam,M,27,172,70,Seychelles,SEY,1992,Summer,Barcelona
769,Leonie Adam,F,23,162,54,Germany,GER,2016,Summer,Rio de Janeiro
770,Marcus Adam,M,24,182,82,Great Britain,GBR,1992,Summer,Barcelona
770,Marcus Adam,M,24,182,82,Great Britain,GBR,1992,Summer,Barcelona
770,Marcus Adam,M,24,182,82,Great Britain,GBR,1992,Summer,Barcelona
770,Marcus Adam,M,33,182,82,Great Britain-1,GBR,2002,Winter,Salt Lake City
779,Shuaib Adam,M,30,175,80,Kenya,KEN,1984,Summer,Los Angeles
779,Shuaib Adam,M,35,175,80,Kenya,KEN,1988,Summer,Seoul
779,Shuaib Adam,M,35,175,80,Kenya,KEN,1988,Summer,Seoul
779,Shuaib Adam,M,38,175,80,Kenya,KEN,1992,Summer,Barcelona
779,Shuaib Adam,M,38,175,80,Kenya,KEN,1992,Summer,Barcelona
780,Tony Adam,M,18,169,61,Germany,GER,2004,Summer,Athi
782,Samba Adama,M,32,175,82,Mauritania,MTN,1988,Summer,Seoul
782,Samba Adama,M,32,175,82,Mauritania,MTN,1988,Summer,Seoul
788,Lubo Adamec,M,29,184,77,Czechoslovakia,TCH,1988,Summer,Seoul
788,Lubo Adamec,M,33,184,77,Czechoslovakia,TCH,1992,Summer,Barcelona
789,Petr Adamec,M,20,187,87,Czechoslovakia,TCH,1980,Summer,Moskva
789,Petr Adamec,M,20,187,87,Czechoslovakia,TCH,1980,Summer,Moskva
789,Petr Adamec,M,20,187,87,Czechoslovakia,TCH,1980,Summer,Moskva
809,Brian Adams,M,27,183,67,Great Britain,GBR,1976,Summer,Montreal
821,Keith Adams,M,22,167,75,Cada,CAN,1972,Summer,Munich
823,Liam Adams,M,29,178,64,Australia,AUS,2016,Summer,Rio de Janeiro
834,Paul Adams,M,24,185,98,Australia,AUS,2016,Summer,Rio de Janeiro
836,Platt Adams,M,23,188,78,United States,USA,1908,Summer,London
836,Platt Adams,M,23,188,78,United States,USA,1908,Summer,London
836,Platt Adams,M,23,188,78,United States,USA,1908,Summer,London
836,Platt Adams,M,23,188,78,United States,USA,1908,Summer,London
836,Platt Adams,M,23,188,78,United States,USA,1908,Summer,London
836,Platt Adams,M,27,188,78,United States,USA,1912,Summer,Stockholm
836,Platt Adams,M,27,188,78,United States,USA,1912,Summer,Stockholm
836,Platt Adams,M,27,188,78,United States,USA,1912,Summer,Stockholm
836,Platt Adams,M,27,188,78,United States,USA,1912,Summer,Stockholm
862,Nenita Adan,F,23,160,49,Philippines,PHI,1988,Summer,Seoul
880,Roy Addison,M,21,177,75,Great Britain,GBR,1960,Summer,Roma
882,Simon Addo,M,17,180,79,Gha,GHA,1992,Summer,Barcelona
882,Simon Addo,M,21,180,79,Gha,GHA,1996,Summer,Atlanta
889,Mercy Addy,F,20,161,58,Gha,GHA,1984,Summer,Los Angeles
889,Mercy Addy,F,20,161,58,Gha,GHA,1984,Summer,Los Angeles
889,Mercy Addy,F,24,161,58,Gha,GHA,1988,Summer,Seoul
889,Mercy Addy,F,32,161,58,Gha,GHA,1996,Summer,Atlanta
894,James Adede,M,29,162,92,Kenya,KEN,2016,Summer,Rio de Janeiro
916,Biko Adema,M,28,177,85,Kenya,KEN,2016,Summer,Rio de Janeiro
917,Joost Adema,M,24,202,91,Netherlands,NED,1984,Summer,Los Angeles
926,Esau Adenji,M,24,177,70,Cameroon,CMR,1968,Summer,Mexico City
926,Esau Adenji,M,28,177,70,Cameroon,CMR,1972,Summer,Munich
926,Esau Adenji,M,28,177,70,Cameroon,CMR,1972,Summer,Munich
928,Alfred Ader,M,31,166,60,Poland,POL,1924,Summer,Paris
941,Paul Adiga,M,20,176,74,Uganda,UGA,1972,Summer,Munich
945,Mirza Adil,M,17,177,73,Sudan,SUD,1960,Summer,Roma
948,Hammed Adio,M,21,185,63,Nigeria,NGR,1980,Summer,Moskva
948,Hammed Adio,M,21,185,63,Nigeria,NGR,1980,Summer,Moskva
948,Hammed Adio,M,21,185,63,Nigeria,NGR,1980,Summer,Moskva
965,Alan Adler,M,20,186,80,Brazil,BRA,1984,Summer,Los Angeles
965,Alan Adler,M,24,186,80,Brazil,BRA,1988,Summer,Seoul
965,Alan Adler,M,28,186,80,Brazil,BRA,1992,Summer,Barcelona
967,Egon Adler,M,23,172,62,Germany,GER,1960,Summer,Roma
967,Egon Adler,M,23,172,62,Germany,GER,1960,Summer,Roma
971,Uwe Adler,M,20,182,77,Germany,GER,1964,Summer,Tokyo
971,Uwe Adler,M,20,182,77,Germany,GER,1964,Summer,Tokyo
984,Jane Admans,F,21,165,53,Great Britain,GBR,1980,Summer,Moskva
987,Khadour Adn,M,25,173,81,Syria,SYR,1996,Summer,Atlanta
989,Gadi Ado,M,20,173,61,Uganda,UGA,1960,Summer,Roma
989,Gadi Ado,M,20,173,61,Uganda,UGA,1960,Summer,Roma
993,Ruth Adolf,F,20,165,56,Switzerland,SUI,1964,Winter,Innsbruck
993,Ruth Adolf,F,20,165,56,Switzerland,SUI,1964,Winter,Innsbruck
1008,Jnos Adorjn,M,34,192,83,Hungary,HUN,1972,Summer,Munich
1011,Omar Adorno,M,23,160,51,Puerto Rico,PUR,1996,Summer,Atlanta
1018,Vera Adrian,F,22,168,57,mibia,M,2016,Summer,Rio de Janeiro
1053,Luca Aerni,M,20,177,80,Switzerland,SUI,2014,Winter,SoChina
1056,Mario Aerts,M,33,182,68,Belgium,BEL,2008,Summer,Beijing
1057,Sara Aerts,F,28,182,64,Belgium,BEL,2012,Summer,London
1082,Ahmed Afifi,M,28,194,92,Egypt,EGY,2016,Summer,Rio de Janeiro
1087,Eveli Afoa,F,17,162,60,Samoa,SAM,2016,Summer,Rio de Janeiro
1115,Mari Agani,F,20,158,51,Uzbekistan,UZB,2006,Winter,Torino
1125,Rstm Aayev,M,22,186,96,Azerbaijan,AZE,2004,Summer,Athi
1155,Istvn gh,M,22,176,82,Hungary,HUN,1992,Summer,Barcelona
1155,Istvn gh,M,22,176,82,Hungary,HUN,1992,Summer,Barcelona
1156,Norbert gh,M,18,194,78,Hungary,HUN,1988,Summer,Seoul
1156,Norbert gh,M,18,194,78,Hungary,HUN,1988,Summer,Seoul
1157,Olivr gh,M,17,187,78,Hungary,HUN,1992,Summer,Barcelona
1157,Olivr gh,M,17,187,78,Hungary,HUN,1992,Summer,Barcelona
1157,Olivr gh,M,21,187,78,Hungary,HUN,1996,Summer,Atlanta
1160,sser Aghaie,M,20,160,51,Iran,IRI,1964,Summer,Tokyo
1167,Neil Agius,M,18,168,65,Malta,MLT,2004,Summer,Athi
1170,Aurlien Agn,M,22,171,62,Benin,BEN,1980,Summer,Moskva
1177,Kally Agogo,M,27,182,82,Nigeria,NGR,1984,Summer,Los Angeles
1180,Marc Agosta,M,36,173,60,Luxembourg,LUX,1984,Summer,Los Angeles
1214,Eric Agueh,M,24,180,72,Benin,BEN,1996,Summer,Atlanta
1214,Eric Agueh,M,24,180,72,Benin,BEN,1996,Summer,Atlanta
1320,Kelsie Ahbe,F,25,170,63,Cada,CAN,2016,Summer,Rio de Janeiro
1360,Tor Ahlsand,M,33,186,78,Norway,NOR,1964,Summer,Tokyo
1373,Ramli Ahmad,M,19,175,67,Malaysia,MAS,1976,Summer,Montreal
1373,Ramli Ahmad,M,19,175,67,Malaysia,MAS,1976,Summer,Montreal
1376,Yahya Ahmad,M,21,146,57,Malaysia,MAS,1976,Summer,Montreal
1379,Jrg Ahmann,M,30,190,88,Germany,GER,1996,Summer,Atlanta
1379,Jrg Ahmann,M,34,190,88,Germany-1,GER,2000,Summer,Sydney
1385,Adn Ahmed,M,26,174,70,Egypt,EGY,2004,Summer,Athi
1398,Heba Ahmed,F,23,176,72,Egypt,EGY,2008,Summer,Beijing
1410,sir Ahmed,M,23,165,65,Pakistan,PAK,2008,Summer,Beijing
1412,Riaz Ahmed,M,27,150,70,Pakistan,PAK,1968,Summer,Mexico City
1412,Riaz Ahmed,M,30,150,70,Pakistan,PAK,1972,Summer,Munich
1422,Ahn Jin-Soo,M,18,178,70,South Korea,KOR,1992,Winter,Albertville
1422,Ahn Jin-Soo,M,18,178,70,South Korea,KOR,1992,Winter,Albertville
1422,Ahn Jin-Soo,M,18,178,70,South Korea,KOR,1992,Winter,Albertville
1422,Ahn Jin-Soo,M,18,178,70,South Korea,KOR,1992,Winter,Albertville
1422,Ahn Jin-Soo,M,20,178,70,South Korea,KOR,1994,Winter,Lillehammer
1422,Ahn Jin-Soo,M,20,178,70,South Korea,KOR,1994,Winter,Lillehammer
1422,Ahn Jin-Soo,M,20,178,70,South Korea,KOR,1994,Winter,Lillehammer
1422,Ahn Jin-Soo,M,24,178,70,South Korea,KOR,1998,Winter,gano
1422,Ahn Jin-Soo,M,24,178,70,South Korea,KOR,1998,Winter,gano
1422,Ahn Jin-Soo,M,24,178,70,South Korea,KOR,1998,Winter,gano
1422,Ahn Jin-Soo,M,24,178,70,South Korea,KOR,1998,Winter,gano
1428,Paavo Aho,M,20,180,63,Finland,FIN,1912,Summer,Stockholm
1428,Paavo Aho,M,20,180,63,Finland,FIN,1912,Summer,Stockholm
1455,Neha Ahuja,F,24,162,54,India,IND,2006,Winter,Torino
1455,Neha Ahuja,F,24,162,54,India,IND,2006,Winter,Torino
1463,Ai Linuer,M,25,160,62,China,CHN,2004,Summer,Athi
1464,Ai Yanhan,F,14,168,54,China,CHN,2016,Summer,Rio de Janeiro
1464,Ai Yanhan,F,14,168,54,China,CHN,2016,Summer,Rio de Janeiro
1476,Mehdi Aidet,M,26,172,65,Algeria,ALG,1980,Summer,Moskva
1476,Mehdi Aidet,M,26,172,65,Algeria,ALG,1980,Summer,Moskva
1476,Mehdi Aidet,M,30,172,65,Algeria,ALG,1984,Summer,Los Angeles
1557,asan Ajjoub,M,19,172,91,Syria,SYR,1980,Summer,Moskva
1557,asan Ajjoub,M,23,172,91,Syria,SYR,1984,Summer,Los Angeles
1559,Zita Ajkler,F,25,170,56,Hungary,HUN,2000,Summer,Sydney
1559,Zita Ajkler,F,29,170,56,Hungary,HUN,2004,Summer,Athi
1565,Ahmet Ak,M,22,163,60,Turkey,TUR,1988,Summer,Seoul
1570,Ali Akacha,M,26,185,80,Algeria,ALG,1980,Summer,Moskva
1585,Taju Akay,M,22,194,81,Gha,GHA,1984,Summer,Los Angeles
1589,Waqar Akbar,M,19,172,58,Pakistan,PAK,2008,Summer,Beijing
1597,smail Akay,M,26,178,61,Turkey,TUR,1968,Summer,Mexico City
1597,smail Akay,M,30,178,61,Turkey,TUR,1972,Summer,Munich
1601,Vehbi Akda,M,19,168,62,Turkey,TUR,1968,Summer,Mexico City
1601,Vehbi Akda,M,23,168,62,Turkey,TUR,1972,Summer,Munich
1601,Vehbi Akda,M,27,168,62,Turkey,TUR,1976,Summer,Montreal
1631,Bilal Akgl,M,25,167,59,Turkey,TUR,2008,Summer,Beijing
1632,brahim Akgl,M,22,163,57,Turkey,TUR,1984,Summer,Los Angeles
1633,Sezer Akgl,M,20,160,55,Turkey,TUR,2008,Summer,Beijing
1634,Taha Akgl,M,21,192,125,Turkey,TUR,2012,Summer,London
1634,Taha Akgl,M,25,192,125,Turkey,TUR,2016,Summer,Rio de Janeiro
1661,Doli Akhtar,F,14,158,53,Bangladesh,BAN,2000,Summer,Sydney
1661,Doli Akhtar,F,18,158,53,Bangladesh,BAN,2004,Summer,Athi
1661,Doli Akhtar,F,22,158,53,Bangladesh,BAN,2008,Summer,Beijing
1665,eem Akhtar,M,23,173,65,Pakistan,PAK,1984,Summer,Los Angeles
1665,eem Akhtar,M,27,173,65,Pakistan,PAK,1988,Summer,Seoul
1669,Allan Akia,M,23,168,66,Papua New Guinea,PNG,1996,Summer,Atlanta
1697,Halil Akka,M,25,175,58,Turkey,TUR,2008,Summer,Beijing
1697,Halil Akka,M,33,175,58,Turkey,TUR,2016,Summer,Rio de Janeiro
1705,Boay Akoy,M,18,168,62,Tanzania,TAN,1988,Summer,Seoul
1709,Ajtony kos,M,28,170,65,Hungary,HUN,1972,Summer,Munich
1709,Ajtony kos,M,28,170,65,Hungary,HUN,1972,Summer,Munich
1712,Mavis Akoto,F,22,148,49,Gha,GHA,2000,Summer,Sydney
1714,Ime Akpan,F,24,165,50,Nigeria,NGR,1996,Summer,Atlanta
1717,Mehmet Akpr,M,32,174,69,Turkey,TUR,1972,Summer,Munich
1747,Hseyin Akta,M,27,175,63,Turkey,TUR,1968,Summer,Mexico City
1747,Hseyin Akta,M,35,175,63,Turkey,TUR,1976,Summer,Montreal
1748,Serap Akta,F,24,165,46,Turkey,TUR,1996,Summer,Atlanta
1748,Serap Akta,F,28,165,46,Turkey,TUR,2000,Summer,Sydney
1755,Chinae Akutsu,F,27,155,51,Japan,JPN,2012,Summer,London
1756,Kozu Akutsu,M,27,162,51,Japan,JPN,1988,Summer,Seoul
1757,Noah Akwu,M,21,160,74,Nigeria,NGR,2012,Summer,London
1759,Hasan Al,M,24,173,67,Denmark,DEN,1996,Summer,Atlanta
2216,Lea Alaerts,F,22,163,54,Belgium,BEL,1976,Summer,Montreal
2216,Lea Alaerts,F,22,163,54,Belgium,BEL,1976,Summer,Montreal
2216,Lea Alaerts,F,22,163,54,Belgium,BEL,1976,Summer,Montreal
2216,Lea Alaerts,F,26,163,54,Belgium,BEL,1980,Summer,Moskva
2216,Lea Alaerts,F,26,163,54,Belgium,BEL,1980,Summer,Moskva
2228,Ahmed Alam,M,28,172,70,Pakistan,PAK,2000,Summer,Sydney
2228,Ahmed Alam,M,32,172,70,Pakistan,PAK,2004,Summer,Athi
2233,Noor Alam,M,26,172,73,Pakistan,PAK,1956,Summer,Melbourne
2233,Noor Alam,M,30,172,73,Pakistan,PAK,1960,Summer,Roma
2235,Karim Alami,M,19,185,85,Morocco,MAR,1992,Summer,Barcelona
2235,Karim Alami,M,27,185,85,Morocco,MAR,2000,Summer,Sydney
2267,ric Alard,M,30,187,97,France-2,FRA,1998,Winter,gano
2309,Il Alben,F,26,172,62,Turkey,TUR,2012,Summer,London
2309,Il Alben,F,30,172,62,Turkey,TUR,2016,Summer,Rio de Janeiro
2321,Fio Albert,F,25,174,70,Australia,AUS,2016,Summer,Rio de Janeiro
2365,Radu Albot,M,26,175,70,Moldova,MDA,2016,Summer,Rio de Janeiro
2399,Rubn Alcala,M,23,190,76,Mexico,MEX,1976,Summer,Montreal
2417,Peter Aldag,M,27,192,92,Germany,GER,1992,Summer,Barcelona
2418,Rolf Aldag,M,27,190,75,Germany,GER,1996,Summer,Atlanta
2418,Rolf Aldag,M,32,190,75,Germany,GER,2000,Summer,Sydney
2526,Ren Aleman,M,34,167,67,France,FRA,1948,Summer,London
2535,Dagne Alemu,M,19,171,58,Ethiopia,ETH,2000,Summer,Sydney
2599,Ion Alexe,M,22,189,81,Romania,ROU,1968,Summer,Mexico City
2599,Ion Alexe,M,26,189,81,Romania,ROU,1972,Summer,Munich
2663,Ahmed Ali,M,22,173,75,Sudan,SUD,2016,Summer,Rio de Janeiro
2666,Amos Ali,M,20,165,64,Papua New Guinea,PNG,1996,Summer,Atlanta
2666,Amos Ali,M,20,165,64,Papua New Guinea,PNG,1996,Summer,Atlanta
2666,Amos Ali,M,20,165,64,Papua New Guinea,PNG,1996,Summer,Atlanta
2668,Aziz Ali,M,27,173,81,Kenya,KEN,2008,Summer,Beijing
2669,Barkat Ali,M,29,190,81,Pakistan,PAK,1964,Summer,Tokyo
2673,Csaba Ali,M,17,175,72,Hungary,HUN,1964,Summer,Tokyo
2673,Csaba Ali,M,17,175,72,Hungary,HUN,1964,Summer,Tokyo
2674,Farag Ali,M,21,165,52,Egypt,EGY,1984,Summer,Los Angeles
2676,Ghada Ali,F,19,166,67,Libya,LBA,2008,Summer,Beijing
2679,Haider Ali,M,20,170,57,Pakistan,PAK,2000,Summer,Sydney
2680,Hamed Ali,M,20,168,63,Saudi Arabia,KSA,1976,Summer,Montreal
2680,Hamed Ali,M,20,168,63,Saudi Arabia,KSA,1976,Summer,Montreal
2680,Hamed Ali,M,20,168,63,Saudi Arabia,KSA,1976,Summer,Montreal
2683,Kame Ali,M,28,185,84,Madagascar,MAD,2012,Summer,London
2683,Kame Ali,M,32,185,84,Madagascar,MAD,2016,Summer,Rio de Janeiro
2694,sir Ali,M,25,176,69,Pakistan,PAK,1984,Summer,Los Angeles
2694,sir Ali,M,29,176,69,Pakistan,PAK,1988,Summer,Seoul
2696,Peter Ali,M,24,194,91,Australia,AUS,1980,Summer,Moskva
2697,Sadam Ali,M,19,175,60,United States,USA,2008,Summer,Beijing
2701,Shifa Ali,F,20,153,52,Maldives,MDV,2004,Summer,Athi
2702,Syed Ali,M,19,169,60,India,IND,1976,Summer,Montreal
2726,Hamza Ali,M,29,186,130,Bosnia and Herzegovi,BIH,2008,Summer,Beijing
2726,Hamza Ali,M,37,186,130,Bosnia and Herzegovi,BIH,2016,Summer,Rio de Janeiro
2729,Cora Alicto,F,28,168,59,Guam,GUM,2008,Summer,Beijing
2734,Adn Aliev,M,24,182,85,Bulgaria,BUL,2008,Summer,Beijing
2734,Adn Aliev,M,24,182,85,Bulgaria,BUL,2008,Summer,Beijing
2748,Jan Alin,M,21,188,79,Czech Republic,CZE,1994,Winter,Lillehammer
2760,Deji Aliu,M,20,187,75,Nigeria,NGR,1996,Summer,Atlanta
2760,Deji Aliu,M,20,187,75,Nigeria,NGR,1996,Summer,Atlanta
2760,Deji Aliu,M,24,187,75,Nigeria,NGR,2000,Summer,Sydney
2760,Deji Aliu,M,24,187,75,Nigeria,NGR,2000,Summer,Sydney
2760,Deji Aliu,M,28,187,75,Nigeria,NGR,2004,Summer,Athi
2760,Deji Aliu,M,28,187,75,Nigeria,NGR,2004,Summer,Athi
2761,Likou Aliu,M,26,170,75,Samoa,SAM,1988,Summer,Seoul
2761,Likou Aliu,M,30,170,75,Samoa,SAM,1992,Summer,Barcelona
2778,Imre Alker,M,22,155,52,Hungary,HUN,1964,Summer,Tokyo
2778,Imre Alker,M,26,155,52,Hungary,HUN,1968,Summer,Mexico City
2780,Alkindi,M,26,190,60,Indonesia,I,1988,Summer,Seoul
2787,Ditta Allah,M,24,171,52,Pakistan,PAK,1972,Summer,Munich
2787,Ditta Allah,M,28,171,52,Pakistan,PAK,1976,Summer,Montreal
2792,mile Allais,M,23,168,68,France,FRA,1936,Winter,Garmisch-Partenkirchen
2796,Dalia Allam,F,23,165,52,Egypt,EGY,2004,Summer,Athi
2814,Lvia Allrov,F,26,169,53,Slovakia,SVK,2000,Summer,Sydney
